Engagement,Frustration,Meditation,Excitement
0.641123,0,0.316708,0.00186492
0.641123,0,0.316708,0.00186492
0.641123,0,0.316708,0.00186492
0.720896,0,0.301749,0.00577296
0.720896,0,0.301749,0.00577296
0.720896,0,0.301749,0.00577296
0.720896,0,0.301749,0.00577296
0.720896,0,0.301749,0.00577296
0.747991,0,0.296636,0.0114218
0.747991,0,0.296636,0.0114218
0.747991,0,0.296636,0.0114218
0.747991,0,0.296636,0.0114218
0.75829,0,0.299419,0.0180803
0.75829,0,0.299419,0.0180803
0.767428,0,0.302485,0.0411644
0.767428,0,0.302485,0.0411644
0.767428,0,0.302485,0.0411644
0.768346,0,0.305284,0.0733166
